district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Центральный АО,55.753848,37.595464,1791946,preset,district,Центральный АО,5,0.003,8,0.004,1,0.001,82,0.046,59,0.033,229,0.128,310,0.173,64,0.036,14,0.008,5,0.003,49,0.027,20,0.011,16,0.009,55,0.031,17,0.009,7,0.004,49,0.027,129,0.072,38,0.021,37,0.021,108,0.06
Северный АО,55.833814,37.525802,760420,preset,district,Северный АО,12,0.016,7,0.009,1,0.001,15,0.02,33,0.043,14,0.018,5,0.007,6,0.008,1,0.001,0,0.0,1,0.001,9,0.012,1,0.001,28,0.037,35,0.046,2,0.003,14,0.018,103,0.135,7,0.009,50,0.066,67,0.088
Восточный АО,55.786904,37.752727,519069,preset,district,Восточный АО,3,0.006,9,0.017,0,0.0,6,0.012,22,0.042,32,0.062,15,0.029,5,0.01,2,0.004,1,0.002,3,0.006,6,0.012,1,0.002,21,0.04,21,0.04,3,0.006,6,0.012,65,0.125,5,0.01,52,0.1,60,0.116
Западный АО,55.696042,37.472935,451293,preset,district,Западный АО,9,0.02,13,0.029,0,0.0,8,0.018,32,0.071,10,0.022,6,0.013,3,0.007,2,0.004,0,0.0,1,0.002,7,0.016,0,0.0,18,0.04,14,0.031,4,0.009,3,0.007,159,0.352,6,0.013,59,0.131,85,0.188
Зеленоградский АО,55.7558,37.6173,920769,preset_missing,district,Зеленоградский АО,3,0.003,3,0.003,2,0.002,74,0.08,56,0.061,329,0.357,355,0.386,67,0.073,11,0.012,9,0.01,34,0.037,14,0.015,12,0.013,41,0.045,16,0.017,6,0.007,45,0.049,78,0.085,44,0.048,26,0.028,108,0.117
Северо-Восточный АО,55.870168,37.643601,1396858,preset_missing,district,Северо-Восточный АО,15,0.011,24,0.017,3,0.002,10,0.007,50,0.036,22,0.016,7,0.005,17,0.012,3,0.002,0,0.0,1,0.001,9,0.006,0,0.0,36,0.026,44,0.031,7,0.005,16,0.011,150,0.107,13,0.009,92,0.066,92,0.066
Юго-Восточный АО,55.699335,37.765248,920769,preset_missing,district,Юго-Восточный АО,23,0.025,24,0.026,3,0.003,8,0.009,40,0.043,28,0.03,10,0.011,16,0.017,5,0.005,1,0.001,1,0.001,10,0.011,0,0.0,35,0.038,37,0.04,10,0.011,9,0.01,142,0.154,9,0.01,78,0.085,78,0.085
Южный АО,55.647965,37.644083,1282795,preset_missing,district,Южный АО,6,0.005,8,0.006,3,0.002,3,0.002,20,0.016,20,0.016,8,0.006,8,0.006,2,0.002,0,0.0,0,0.0,7,0.005,0,0.0,23,0.018,11,0.009,4,0.003,5,0.004,32,0.025,4,0.003,30,0.023,64,0.05
Юго-Западный АО,55.615184,37.531753,1094343,preset_missing,district,Юго-Западный АО,10,0.009,16,0.015,0,0.0,5,0.005,23,0.021,16,0.015,6,0.005,10,0.009,1,0.001,1,0.001,1,0.001,6,0.005,0,0.0,22,0.02,20,0.018,6,0.005,4,0.004,123,0.112,11,0.01,69,0.063,58,0.053
Северо-Западный АО,55.826742,37.435495,1287754,preset_missing,district,Северо-Западный АО,5,0.004,6,0.005,0,0.0,10,0.008,27,0.021,25,0.019,10,0.008,10,0.008,2,0.002,0,0.0,2,0.002,6,0.005,0,0.0,25,0.019,18,0.014,1,0.001,11,0.009,101,0.078,10,0.008,45,0.035,60,0.047
Новомосковский АО,55.550157,37.23929,1451410,preset_missing,district,Новомосковский АО,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Троицкий АО,55.7658,37.6073,1396858,preset_missing,district,Троицкий АО,3,0.002,14,0.01,2,0.001,109,0.078,74,0.053,334,0.239,377,0.27,92,0.066,10,0.007,6,0.004,49,0.035,21,0.015,16,0.011,61,0.044,29,0.021,7,0.005,49,0.035,163,0.117,48,0.034,38,0.027,102,0.073
